ITEM NO.|CROSS-REFERENCE NO.|DESCRIPTION|DESCRIPTION 2|ITEM CATEGORY|PRODUCT GROUP|LOCATION|QUANTITY|OE MANUFACTURER|WEIGHT|CUBAGE|HEIGHT|WIDTH|DEPTH|ITEM UPC NO.|COUNTRY OF ORIG|TARIFF NO.|SCHEDULE B CODE
APP40898|0009906703;0009906803;001993107;0149976245;0149976445;0259973448;05175766AA;05179566AA;05179566AB;2194920080;5175626AA;5175629AA;5175630AA;5175766AA;5179566AA;5179566AB;6420900080;6420900086;6420900280;6420900286;6420900486;6420900780;6420900880;6420900980;6420901080;64209011680;6420901180;642090120080;6420901480;6420901486;642090148680;642090148688;6420901586;642-090-15-86;642090158680;642-090-15-86-80;6420901880;6420901886;642-090-18-86;6420902080;6420902180;6420902380;6420902980;642090298080;642090298088;6420903080;6420904780;642090480;6420904980;6420905380;6420905580;6420905780;642090578088;6420905880;6420905980;642090598080;642090598088;6420906280;6420906380;6420906880;642090688080;6420906980;642090698080;642090698088;6420907080;642090708080;642090708088;6420908380;6420908580;6420908680;642090868080;642090868088;6420908708;6420908780;642090878080;642090878088;6420908880;642090898080;642090898088;642096880;64209688080;6421410680;6421420481;6421420781;6421420981;64214218880;6421423180;6421423280;642908980;68004663AA;68004664AA;68004666AA;68012070AA;68019589AA;68029195AA;68037206AA;68037207AA;68043064AA;68053124AA;68053189AA;68089008AA;A0009906803;A0019903107;A009906703;A0149976245;A0149976445;A0259973448;A6420900080;A6420900086;A6420900280;A6420900286;A6420900486;A6420900780;A6420900880;A6420900980;A6420901080;A6420901180;A6420901480;A6420901486;A6420901586;A6420901680;A6420901880;A6420901886;A6420902080;A6420902180;A6420902980;A6420903080;A6420904780;A6420904980;A6420905380;A6420905580;A6420905780;A642090578088;A6420905880;A6420905980;A642090598080;A642090598088;A6420906280;A6420906380;A6420906880;A6420906980;A6420907080;A642090708080;A642090708088;A6420908380;A6420908580;A6420908680;A642090868088;A6420908780;A6420908880;A6420908980;A642090898080;A642090898088;A6420909480;A6421410680;A6421420481;A6421420781;A6421420981;A6421421880;A6421423180;A6421423280;A910143008017;RL68004663AA;RL68037206AA;RL68089008AA|AP0138|Turbo Install Kit, Mercedes 3.0 OM647 07-19|Turbocharger Components|Install Kits||2|ALLIANT POWER|0.975|125|5|5|5|843497107643|DE|8484100000|8501104060
APP40899|0004920981;000-492-09-81;007603010406;007603-010406;0169977645;016-997-76-45;0239978548;023-997-85-48;641090098080;6410960480;641-096-04-80;6510900980;6510905380;651090538080;6510905780;651090578080;6510906380;651090638080;651090638087;6510960280;651-096-02-80;6510960380;651-096-03-80;65109638087;A0004920981;A0169977645;A0239978548;A6410960480;A6510900980;A651090098080;A6510905380;A651090538080;A6510905780;A651090578080;A6510906380;A651090638080;A6510960280;A6510960380|AP0139|Turbo Install Kit, Mercedes 2.1L OM651 14-16|Turbocharger Components|Install Kits||0|ALLIANT POWER|0.483|125|5|5|5|843497107650|DE|8484100000|8501104060
APP40900|0009906803;004920000;004920981;0129972245;0239978548;05104006;05104006AA;05104006AB;0511705AA;05137152AA;05142494AA;4620543;5104006AA;5104006AB;5117505AA;5137152AA;5142494AA;6111870680;6120960399;612096039987;6461420080;6470900080;6470900280;647090028087;647090028088;6470960199;A004920000;A004920981;A0129972245;A0239978548;A6111870080;A6111870680;A6120960399;A612096039987;A6461420080;A6470900080;A6470900280A64709601;R5104006AB;R5142494AA;RL142494AA|AP0140|Turbo Install Kit, Mercedes 2.7L OM647/612 00-06|Turbocharger Components|Install Kits||6|ALLIANT POWER|0.7|144.703|5.25|5.25|5.25|843497107667|DE|8484100000|8501104060
APP40901|AA5Z00815C;AA5Z-00815-C;BL3E6C897AA;BL3E-6C897-AA;BL3E9G438UA;BL3E-9G438-UA;BL3E9G438UB;BL3E-9G438-UB;BL3Z6K682C;BL3Z-6K682-C;BL3Z6K682E;BL3Z-6K682-E;BL3Z6N652A;BL3Z-6N652-A;BL3Z6N652B;BL3Z-6N652-B;BL3Z9450A;BL3Z-9450-A;BL3Z9450C;BL3Z-9450-C;CL3E-6K682-A;CL3Z6K682C;CL3Z-6K682-C;CL3Z9450B;CL3Z-9450-B;DL3E6C879AA;DL3E-6C879-AA;DL3E6C879AC;DL3E-6C879-AC;DL3E6C879AD;DL3E-6C879-AD;DL3E6C879AE;DL3E-6C879-AE;DL3E6C879AF;DL3E-6C879-AF;DL3Z6K682A;DL3Z-6K682-A;DL3Z6K682C;DL3Z-6K682-C;DL3Z6K682E;DL3Z-6K682-E|AP0141|Turbo Install Kit, Left Side, Ford 3.5L 11-20|Turbocharger Components|Install Kits||4|ALLIANT POWER|0.261|125|5|5|5|843497107674|DE|8484100000|8501104060
APP40902|AA5Z00815C;AA5Z-00815-C;BL3E6K682AA;BL3E-6K682-AA;BL3E9G438VA;BL3E-9G438-VA;BL3E9G438VB;BL3E-9G438-VB;BL3Z6K682B;BL3Z-6K682-B;BL3Z6K682D;BL3Z-6K682-D;BL3Z6K682VB;BL3Z-6K682-VB;BL3Z6N652A;BL3Z-6N652-A;BL3Z6N652B;BL3Z-6N652-B;BL3Z9450A;BL3Z-9450-A;BL3Z9450B;BL3Z-9450-B;CL3E6K682B;CL3E-6K682-B;CL3Z6K682B;CL3Z-6K682-B;CL3Z6K682D;CL3Z-6K682-D;CL3Z9450A;CL3Z-9450-A;DL3E6K682AA;DL3E-6K682-AA;DL3E6K682AC;DL3E-6K682-AC;DL3E6K682AD;DL3E-6K682-AD;DL3E6K682AE;DL3E-6K682-AE;DL3E6K682AF;DL3E-6K682-AF;DL3Z6K682B;DL3Z-6K682-B;DL3Z6K682D;DL3Z-6K682-D;DL3Z6K682F;DL3Z-6K682-F|AP0142|Turbo Install Kit, Right Side, Ford 3.5L 11-20|Turbocharger Components|Install Kits||6|ALLIANT POWER|0.26|125|5|5|5|843497107681|DE|8484100000|8501104060
APP40903|25198474;25198550;25198928;25200945;25201063;55565348;55565352;55565353;55566188;55569840;55570704;5558112|AP0143|Turbo Install Kit, GM 1.4L 11-18|Turbocharger Components|Install Kits||0|ALLIANT POWER|1.065|329.875|3.25|7.25|14|843497107698|DE|8484100000|8501104060
APP40904|06K145614D;06K-145-614-D;06K145701G;06K-145-701-G;06K145701R;06K-145-701-R;06K145702;06K-145-702;06K-145-702-E;06K145702H;06K-145-702-H;06K-145-702-J;06K145702K;06K-145-702-K;06K145702M;06K-145-702-M;06K145702N;06K-145-702-N;06K145702Q;06K-145-702-Q;06K145702R;06K-145-702-R;06K145702T;06K-145-702-T;06K145713E;06K-145-713-E;06K145713F;06K-145-713-F;06K145713G;06K-145-713-G;06K145713H;06K-145-713-H;06K145713K;06K-145-713-K;06K-145-713-KX;06K-145-713-L;06K145713LX;06K-145-713-LX;06K145721B;06K-145-721-B;06K145721D;06K-145-721-D;06K145721J;06K-145-721-J;06K145721L;06K-145-721-L;06K145721LX;06K-145-721-LX;06K145721P;06K-145-721-P;06K145721PX;06K-145-721-PX;06K145722A;06K-145-722-A;06K145722D;06K-145-722-D;06K145722G;06K-145-722-G;06K145722H;06K-145-722-H;06K145722J;06K-145-722-J;06K145722L;06K-145-722-L;06K145722M;06K-145-722-M;06K145722N;06K-145-722-N;06K145722P;06K-145-722-P;06K145722S;06K-145-722-S;06K145722T;06K-145-722-T;06K145874;06K-145-874;06K145874C;06K-145-874-C;06K145874E;06K-145-874-E;06K145874F;06K-145-874-F;06K145874FX;06K-145-874-FX;06K145874G;06K-145-874-G;06K145874GX;06K-145-874-GX;06K145874J;06K-145-874-J;06K145874K;06K-145-874-K;06K145874L;06K-145-874-L;06K145874LX;06K-145-874-LX;06K145874M;06K-145-874-M;06K145874MX;06K-145-874-MX;06K145874N;06K-145-874-N;06K145874NX;06K-145-874-NX;06K145874P;06K-145-874-P;06K145874PX;06K-145-874-PX;06K145874Q;06K-145-874-Q;06K145874QX;06K-145-874-QX;06K145874X;06K-145-874-X|AP0144|Turbo Install Kit, VW 1.8L 2.0L 14-21|Turbo Repair/Install Comp|General||4|ALLIANT POWER|0.486|125|5|5|5|843497107704|DE|8708998180|4009110000
APP40943|1831833C91;1832204C91;1832204C92;1832204C93;1832204C94;1832666C97;1842216C91;1842216C92;1842216C93;1842216C94;1842216C95;1842218C91;1842218C92;1842218C93;1842218C94;1842218C95;1842219C91;1842219C92;1842219C93;1842219C94;1842219C95;1842237C92;1842237C93;1842237C94;1842237C95;1842238C92;1842239C91;1842338C91;1842338C93;1842338C94;1842338C95;1842339C92;1842339C93;1842339C94;1842339C95;1842580C93;1842582C91;1842582C92;1842582C93;1842582C94;1842582C95;1842582C96;1842582C97;1842582C98;1842583C91;1842583C92;1842583C93;1842583C94;1842583C95;1842583C96;1842583C97;1842583C98;1842584C91;1842584C92;1842584C93;1842584C94;1842584C95;1842584C96;1842584C97;1842584C98;1842585C92;1842585C93;1842585C94;1842585C95;1842586C91;1842586C92;1842586C93;1842586C94;1842586C95;1842586C96;1842586C97;1842586C98;184258C91;1842623C91;1842623C92;1842623C93;1842623C94;1842623C95;1842623C96;1842686C91;1846607C91;1846607C92;1846607C93;1850404;1850404C91;1850404C92;1850404C93;1850404C94;1850404C95;1850404C97;1850493C91;1850495C91;1870931C91;1870931C92;1870931C93;1870931C94;1870932C91;1870932C92;1870932C93;1870932C94;1870933C91;1870933C92;1870933C93;1870933C94;1870934C91;1870934C92;1870934C93;1870934C94;1870935C91;1870935C92;1870935C93;1870935C94;1870936C91;1870936C92;1870936C93;1870936C94;1871090C91;1871090C92;1871090C93;1871097C91;1871097C93;187197C92;1872258C91;1876116C91;1876116C92;1876116C93;1876116C94;1876116C95;1876116C96;1876117C96;1876118C91;1876118C92;1876118C93;1876118C94;1876118C95;1876118C96;1876448C91;1877446C91;1877634C91;1877634C92;1877634C93;1877634C94;1877634C95;1877634C96;1881102C91;1881102C92;1881102C93;1881102C94;1881102C95;1881104C91;1881104C92;1881104C93;1881105C91;1881105C92;1881105C93;1881106C91;1881106C92;1881106C93;1881107C91;1881107C92;1881107C93;1883556C91;1883556C92;1942585C96;4333-1842623C93;5010313R91;5010313R92;5010313R93;5010313R94;5010313R95;5010313R96;5010314R91;5010314R92;5010314R93;5010314R94;5010314R95;5010314R96;5010568R91;5010569;5010569R91;5010574R91;5010575C91;5010575R;5010575R91;5010577R91;5010579R91;5010580R91;5010581R91;5010583R91;5010585R91;5010704R91;5010706R91;5010706R92;5010706R93;5010720R91;5010720R92;5010722R91;5010722R92;5010722R93;5010724R91;5010724R92;5010724R93;5010R93|AP0170|Turbo Installation Kit, Maxxforce DT466E/570E|Turbocharger Components|Install Kits||7|ALLIANT POWER|0.46|125|5|5|5|843497107728|US|8484100000|8501104060
APP40944|10967899;2836378;2840201;3768408;3769546;3772934;3787000;3787029;471 090 44 80;4710904480;4710904580;4710907180;4710907280;4710962299;4710962399;4710962799;4710962899;4710963599;4710963699;4710963799;4710964099;4710964399;4710964599;4710965999;4710966099;4710966199;4710966299;4710966499;4710966599;4710967099;4710967399;4710967499;4710967599;4710967699;4710967899;4710967999;4710968399;4710968799;4720901480;4720902880;4720960799;4720961099;4720961199;4720961399;4720961599;4720961699;4720961999;4720962099;4720962199;4720962299;4720962399;4720962499;5358027;5358033;5358037;A 471 090 44 80;A 471 090 71 80;A4710904480;A4710904580;A4710907180;A4710907280;A4710962299;A4710962399;A4710962799;A4710962899;A4710963599;A4710963699;A4710963799;A4710964099;A4710964399;A4710964499;A4710964599;A4710965999;A4710966099;A4710966199;A4710966299;A4710966499;A4710967099;A4710967399;A4710967499;A4710967599;A4710967699;A4710967899;A4710967999;A4710968399;A4710968799;A4720901480;A4720902880;A4720960799;A4720961099;A4720961199;A4720961399;A4720961499;A4720961599;A4720961699;A4720961999;A4720962099;A4720962199;A4720962299;A4720962399;A4720962499;A4760961499;A4760961599;DDE A4710904480;DDE A4710907180;DDE EA4710907180;DDE EA4710907280;DDE EA4710967399;DDE EA4710967899;DDE EA4720901480;DDE EA4720902880;DDE EA4720962499;DDE RA4710907180;DDE RA4710907280;DDE RA4710967399;DDE RA4710967899;DDE RA4720901480;DDE RA4720902880;DDE RA4720962499;DDEEA4710904580;DDEEA4710907180;DDEEA4710907280;DDEEA4710967399;DDEEA4710967899;DDEEA4720901480;DDEEA4720902880;DDEEA4720962299;DDEEA4720962499;DDERA4710907180;DDERA4710907280;DDERA4710967399;DDERA4710967899;DDERA4720901480;DDERA4720902880;DDERA4720962499;EA4710904480;EA4710904580;EA4710907180;EA4710907280;EA4710962299;EA4710962399;EA4710962799;EA4710962899;EA4710963599;EA4710963699;EA4710963799;EA4710964099;EA4710964399;EA4710964499;EA4710964599;EA4710965999;EA4710966099;EA4710966199;EA4710966299;EA4710966599;EA4710967099;EA4710967399;EA4710967499;EA4710967599;EA4710967699;EA4710967899;EA4710967999;EA4710968799;EA4720901480;EA4720902880;EA4720960799;EA4720961199;EA4720961399;EA4720961999;EA4720962099;EA4720962299;EA4720962399;EA4720962499;R4710904580;R4720901480;RA4710904480;RA4710904580;RA4710907180;RA4710907280;RA4710962399;RA4710962799;RA4710962899;RA4710964399;RA4710964499;RA4710964599;RA4710966499;RA4710966599;RA4710967399;RA4710967899;RA4710967999;RA4710968799;RA4720901480;RA4720902880;RA4720960799;RA4720961199;RA4720961399;RA4720961999;RA4720962399;RA4720962499|AP0171|Turbo Install Kit, Detroit DD13,DD15 & DD16|Turbocharger Components|Install Kits||3|ALLIANT POWER|1.18|125|5|5|5|843497107735|US|8484100000|8501104060
APP40945|06G145701QX;06H 145 702T;06H145689Q;06H145701P;06H-145-701-P;06H145701PX;06H-145-701-PX;06H145701Q;06H-145-701-Q;06H-145-701-QX;06H145702G;06H-145-702-G;06H145702L;06H-145-702-L;06H145702Q;06H-145-702-Q;06H145702R;06H-145-702-R;06H145702S;06H-145-702-S;06H145702SX;06H-145-702-SX;06H145702T;06H-145-702-T;06H145703N;06H-145-703-N;06H145703P;06H-145-703-P;06H145703Q;06H-145-703-Q;06H145703R;06H-145-703-R;06H145703S;06H-145-703-S;06H145703SX;06H-145-703-SX;06H145704D;06H-145-704-D;06H145704K;06H-145-704-K;06H145704M;06H-145-704-M;06J145689G;06J-145-689-G;06J145689M;06J-145-689-M;06J145701J;06J-145-701-J;06J145701N;06J-145-701-N;06J145701T;06J-145-701-T;06J145702G;06J-145-702-G;06J145702K;06J-145-702-K;06J145702L;06J-145-702-L;06J145703C;06J-145-703-C;06J145703N;06J-145-703-N;06J145704C;06J145-704-C;06J145704D;06J-145-704-D;06J145704H;06J145-704-H;06J145713A;06J-145-713-A;06J145713D;06J145-713-D;06J145713F;06J-145-713-F;06J145713FX;06J-145-713-FX;06J145713K;06J-145-713-K;06J145713KX;06J-145-713-KX;06J145713L;06J-145-713-L;06J145713T;06J-145-713-T;06J145713TX;06J-145-713-TX;06J145722B;06J-145-722-B;06J145722BX;06J-145-722-BX|AP0172|Discontinued -Turbo Install Kit, Audi/VW 2.0L TFSI|Turbocharger Components|Install Kits||1|ALLIANT POWER|1.88|283.5|3|7|13.5|843497107742|US|8484100000|8501104060
APP40946|12589435;12595593;12598713;12605720;12609878;12611119;12618586;12618667;12626102;12643932;12652494;12654962;12658317;13265351;N 044 514 5;N 904 539 01;N0445145;N90453901|AP0173|Discontinued - Turbo Installation Kit, GM 2.0L Eco|Turbocharger Components|Install Kits||1|ALLIANT POWER|1|125|5|5|5|843497107759|DE|8484100000|8501104060
APP40994|028145701J;028-145-701-J;028145701JX;028-145-701-JX;028145701Q;028-145-701-Q;028145701QX;028-145-701-QX;028145702;028-145-702;028145702F;028-145-702-F;028145702FX;028-145-702-FX;028-145-702-X;1H0 253 115 A;1H0253115A;N 013 814.1;N0138144|AP0174|Discontinued -Turbo Install Kit, VW Tdi 1.9L 96-99|Turbocharger Components|Install Kits||1|ALLIANT POWER|0.54|132|3|4|11|843497107858|US|8484100000|8501104060
APP40995|038253010A;038-253-010A;038-253-010-A;038253010AX;038-253-010-AX;038253010S;038-253-010S;038-253-010-S;038253010SX;038-253-010-SX;038253014A;038-253-014A;038-253-014-A;038253014AX;038-253-014-AX;038253016G;038253016GV110;038253016GV115;038253016GV120;038253016GV500;038253016GV510;038253016R;038253019;038-253-019;038253019A;038-253-019-A;038253019AV200;038253019AX;038-253-019-AX;038253019C;038-253-019C;038-253-019-C;038253019CV225;038253019CV500;038253019CX;038-253-019CX;038-253-019-CX;038253019D;038-253-019D;038-253-019-D;038253019DV500;038-253-019DV500;038253019DX;038-253-019-DX;038253019X;038-253-019-X;03G253014L;03G-253-014L;03G-253-014-L;03G253014LX;03G-253-014-LX;03G253014R;03G-253-014R;03G-253-014-R;03G253014RX;03G-253-014RX;03G-253-014-RX;03G253016K;03G-253-016K;03G-253-016-K;03G253016KX;03G-253-016-KX;03G253016L;03G-253-016L;03G-253-016-L;03G253016LX;03G-253-016-LX;03G253016N;03G-253-016N;03G-253-016-N;03G253016NX;03G-253-016-NX;03G253016R;03G-253-016S;03G-253-016-S;03G253016SX;03G-253-016-SX;1842707;184-2707;38253019|AP0175|Turbo Install Kit, VW Tdi 1.9L 98-05.5 ALH BEW|Turbocharger Components|Install Kits||0|ALLIANT POWER|1.5|392|4|7|14|843497107865|DE|8484100000|8501104060
APP40996|038253014Q;038253014QX;03G253010;03G253010V;03G253010V100;03G253010V101;03G253010V102;03G253010V103;03G253010V104;03G253014N;03G253014NV100;03G253016H;03G253016HV100;03G253016HV110;03G253019L;03G253019LV200|AP0176|Discontinued - Turbo Install Kit, VW Tdi 1.9L|Turbocharger Components|Install Kits||0|ALLIANT POWER|1.42|467.5|2.5|11|17|843497107872|US|8484100000|8501104060
APP40997|03L253010;03L-253-010;03L253010D;03L-253-010D;03L253010V;03L-253-010-V;03L253010X;03L-253-010-X;03L253016G;03L-253-016G;03L253016K;03L-253-016-K;03L253016KV;03L-253-016-KV;03L253016KX;03L-253-016-KX;03L253019C;03L-253-019C;03L253019E;03L-253-019-E;03L253019EV;03L-253-019-EV;03L253019EX;03L-253-019-EX;03L253019K;03L-253-019K;03L253019M;03L-253-019M;03L253019N;03L-253-019-N;03L253019NV;03L-253-019-NV;03L253019NX;03L-253-019-NX;03L253056;03L-253-056;03L253056C;03L-253-056C;03L253056V;03L-253-056-V;03L253056X;03L-253-056-X|AP0177|Discontinued -Turbo Install Kit, VW Tdi 2.0L 09-14|Turbocharger Components|Install Kits||0|ALLIANT POWER|1.15|400.313|3.5|7.5|15.25|843497107889|DE|8484100000|8501104060
APP40998|0030070024001;04L 253 016 F;04L253010B;04L-253-010-B;04L253010BX;04L-253-010-BX;04L253010T;04L-253-010-T;04L253010TX;04L-253-010-TX;04L253016F;04L-253-016-F;04L253016H;04L253016HV;04L253016HX;04L253019P;04L-253-019-P;04L253019PV;04L-253-019-PV;04L253019PX;04L-253-019-PX;04L253019Q;04L-253-019-Q;04L253019QX;04L-253-019-QX;04L253020M;04L-253-020-M;04L253020MV;04L-253-020-MV;04L253020MX;04L-253-020-MX;04L253020P;04L-253-020-P;04L253020PV;04L-253-020-PV;04L253020PX;04L-253-020-PX;04L253020Q;04L-253-020-Q;04L253020QV;04L-253-020-QV;04L253020QX;04L-253-020-QX|AP0178|Discontinued - Turboinstall Kit, VW Tdi 2.0L|Turbocharger Components|Install Kits||0|ALLIANT POWER|1.48|374|2|11|17|843497107896|DE|8484100000|8501104060
APP40999|11654571543;11-65-4-571-543;11654615206;11-65-4-615-206;11657576985;11-65-7-576-985;11657590598;11-65-7-590-598;11657605047;11-65-7-605-047;11657605794;11-65-7-605-794;11657646092;11-65-7-646-092;11657646093;11-65-7-646-093;757695808;7576985;757698509;7576985-09;757698510;7576985-10;7576985A01;7576985B02;7576985C03;7576985F04;7576985G05;7576985H06;7590598;7590598A01;7590598A02;7590598F02;7605047;7605794;760579402;760579403;760579404;760579405;760579406;760579407;7605794AI03;7605794AI04;7605794AI05;7605794AI06;7605794AO02;760579AI07|AP0179|Discontinued - Turbo Install Kit, BMW 4.4L N63|Turbocharger Components|Install Kits||0|ALLIANT POWER|0.06|0.035|0.001|7|5|843497107902|US|8484100000|8501104060
APP41000|11657846918;11-65-7-846-918;11657846919;11-65-7-846-919;11657846920;11-65-7-846-920;11657846921;11-65-7-846-921;11657848113;11-65-7-848-113;11657848114;11-65-7-848-114;11657849044;11-65-7-849-044;11657849045;11-65-7-849-045;11657850317;11-65-7-850-317;11657850318;11-65-7-850-318|AP0180|Discontinued - Turbo Install Kit, 4.4L BMW S63|Turbocharger Components|Install Kits||1|ALLIANT POWER|0.36|125|5|5|5|843497107919|US|8484100000|8501104060
APP41001|12641882;12642185;12662186;5510314;55486935;55486936;55496255;55506039;55506040;55506041;55510316;55595128;55598230|AP0181|Turbo Install Kit, GM 2.8L 16-22|Turbocharger Components|Install Kits||2|ALLIANT POWER|0.72|125|5|5|5|843497107926|US|8484100000|8501104060
APP41002||AP0182|Discontinued - Turbo Install Kit, Audi & VW 1.4L|Turbocharger Components|Install Kits||0|ALLIANT POWER|0.6|125|5|5|5|843497107933|DE|8484100000|8501104060
APP41003||AP0183|Discontinued - Turbo Install Kit, Mini N14/N18 1.6|Turbocharger Components|Install Kits||0|ALLIANT POWER|0.76|125|5|5|5|843497107940|DE|8484100000|8501104060
APP41004|11654575478;11-65-4-575-478;11654575479;11-65-4-575-479;11-65-4-577-236;11654579845;11-65-4-579-845;1165477236;11657583904;11-65-7-583-904;11657583908;11-65-7-583-908;11657583909;11-65-7-583-909;11657588995;11-65-7-588-995;1165763426;11657636423;11-65-7-636-423;11657636424;11-65-7-636-424;11657636425;11-65-7-636-425;11-65-7-636-426;11657643115;11-65-7-643-115;11657648913;11-65-7-648-913;7583904;7583908;758390810;7583909;7588995;7-588-995|AP0184|Discontinued -Turbo Install Kit, BMW N55 3.0L B30A|Turbocharger Components|Install Kits||2|ALLIANT POWER|1.28|125|5|5|5|843497107957|DE|8484100000|8501104060
APP41005||AP0185|Discontinued - Turbo Install Kit, GM 2.0L LBS/LUZ|Turbocharger Components|Install Kits||1|ALLIANT POWER|0.48|125|5|5|5|843497107964|DE|8484100000|8501104060
APP41006|3818824;3883284;3963991;4931642;5011921AA;5016648AA;5183354AA;518354AA;5260648;5263462;5264568;68003277AA;68005214AA;68005334AB;68014997AA;68049023AA;68210185AA|AP0186|Turbo Install Kit, Cummins 6.7L ISB|Turbocharger Components|Install Kits||42|ALLIANT POWER|0.547|53.6928|2.4|3.4|6.58|843497107971|DE|8484100000|8501104060
APP41007||AP0187|Discontinued - Turbo Install Kit, BMW/Mini  2.0L|Turbocharger Components|Install Kits||1|ALLIANT POWER|0.38|125|5|5|5|843497107988|DE|8484100000|8501104060
APP41008||AP0188|Discontinued - Turbo Install Kit, BMW N54 3.0L|Turbocharger Components|Install Kits||0|ALLIANT POWER|0.52|125|5|5|5|843497107995|DE|8484100000|8501104060
APP41009|079145701N;079-145-701-N;079145702N;079-145-702-N;079145703A;079-145-703-A;079145703B;079-145-703-B;079145703C;079-145-703-C;079145703D;079-145-703-D;079145703E;079-145-703-E;079145703F;079-145-703-F;079145703G;079-145-703-G;079145703K;079-145-703-K;079145703L;079-145-703-L;079145703M;079-145-703-M;079145703P;079-145-703-P;079145703Q;079-145-703-Q;079145703R;079-145-703-R;079145703S;079-145-703-S;079145704A;079-145-704-A;079145704B;079-145-704-B;079145704C;079-145-704-C;079145704D;079-145-704-D;079145704E;079-145-704-E;079145704F;079-145-704-F;079145704G;079-145-704-G;079145704K;079-145-704-K;079145704L;079-145-704-L;079145704M;079-145-704-M;079145704P;079-145-704P;079145704Q;079-145-704-Q;079145704R;079-145-704-R;079145704S;079-145-704-S;079145721;079-145-721;079145721A;079-145-721-A;079145721AX;079-145-721-AX;079145721B;079-145-721-B;079145721BX;079-145-721-BX;079145722;079-145-722;079145722A;079-145-722-A;079145722AX;079-145-722-AX;079145722B;079-145-722-B;079145722BX;079-145-722-BX|AP0189|Discontinued - Turbo Install Kit, Audi 4.0L Twin|Turbocharger Components|Install Kits||2|ALLIANT POWER|1.1|318.5|3.25|7|14|843497108008|DE|8484100000|8501104060
APP41011||AP0191|Discontinued - Turbo Install Kit, GM 2.0L Ecotec|Turbocharger Components|Install Kits||1|ALLIANT POWER|0.6|125|5|5|5|843497108022|US|8484100000|8501104060
APP41016|3553803C1;3553803C2;4333-355803C2;4333-893944R92;4C4Z5A231BC;4C4Z-5A231-BC;893944R92;S23256;S-23256|AP0196|V-Band Clamp, Turbine Outlet Navistar/Mack 4-1/4"|Turbocharger Components|Install Kits||0|ALLIANT POWER|6.79|0.6|0.01|10|6|843497108077|US|8484100000|8501104060
APP41020|FC3Z9U469B;HC3Z6587A;HC3Z6C683A;HC3Z6N639A|AP0198|Update Turbo Pedestal Kit, 2015-16 Ford 6.7L|Turbocharger Components|Install Kits||13|ALLIANT POWER|11.4|700|10|7|10|843497108091|US|8484100000|8501104060
APP41030|1889489C91;1889489C92;1889489C93;1889489C94;1891335C1;1891335C2;1891335C3;1891335C91;1891335C92;1891335C93;1891336C91;1891336C92;1891336C93;18991335C1;1899898C91;1899898C92;1899898C93;1899898C94;5010934R91;5010935R1|AP90009|Reman Lp B2Fs Turbo, Maxxforce Dt|Turbochargers|Borg Warner||2|ALLIANT POWER|40|4032|12|21|16|843497108183|US|8414800500|8414800500
APP41031|1889568C1;1889568C2;1889568C3;1889568C91;1889568C92;1889568C93;1889587;1889587C91;1889587C92;1889587C93;1897459C91;1897459C92;1897459C93;5010808R91;5010808R92;5010808R93;5010808R94;5010808R95|AP90010|Reman Lp B2Fs Turbo, Maxxforce 7|Turbochargers|Borg Warner||2|ALLIANT POWER|33|2112|12|11|16|843497108190|US|8414800500|8414800500
APP41032|1889587;1889587C91;1889587C92;1889587C93;1897457C91;1897457C92;1897457C93;1897457C94;5010803R91;5010803R92;5010803R93;5010803R94;5010803R95;5010803R96;5010803R97;5010803R98;5010803R99;7080088C91;7080088C92|AP90011|Reman B1Ug Hp Turbo, Maxxforce 7|Turbochargers|Borg Warner||1|ALLIANT POWER|42|4032|12|21|16|843497108206|US|8414800500|8414800500
APP41033|1831833C91;1832204C91;1832204C92;1832204C93;1832204C94;1850404;1850404C91;1850404C92;1850404C93;1850404C94;1850404C95;1850404C97;1871090C91;1871090C92;1871090C93;5010568R91;5010569;5010569R91|AP90012|Reman S300V Turbo, Maxxforce Dt466, W/ Actuator|Turbochargers|Borg Warner||2|ALLIANT POWER|64|4032|12|21|16|843497108213|US|8414800500|8414800500
APP41034|1842216C91;1842216C92;1842216C93;1842216C94;1842216C95;1842580C91;1842580C92;1842580C93;1842580C94;1842580C95;1842580C96;1842580C97;1842580C98;1870931C91;1870931C92;1870931C93;1870931C94;5010313R91;5010313R92;5010313R94;5010313R95;5010313R96;5010574R91;5010575;5010575R91|AP90013|Reman S300V Turbo, Maxxforce Dt466 W/ Actuator|Turbochargers|Borg Warner||0|ALLIANT POWER|64|4032|12|21|16|843497108220|US|8414800500|8414800500
APP41035|1842337C91;1842337C92;1842337C93;1842337C94;1842337C95;1842337C96;1842582C91;1842582C92;1842582C93;1842582C94;1842582C95;1842582C96;1842582C97;1842582C98;184258C91;1870932C91;1870932C92;1870932C93;5010314R91;5010314R92;5010314R93;5010314R94;5010314R95;5010314R96;5010580R91;5010581R91|AP90014|Reman S300V Turbo, Maxxforce Dt466 Low Mnt W/ Act|Turbochargers|Borg Warner||0|ALLIANT POWER|64|4032|12|21|16|843497108237|US|8414800500|8414800500
