ITEM NO.|CROSS-REFERENCE NO.|DESCRIPTION|DESCRIPTION 2|ITEM CATEGORY|PRODUCT GROUP|LOCATION|QUANTITY|OE MANUFACTURER|WEIGHT|CUBAGE|HEIGHT|WIDTH|DEPTH|ITEM UPC NO.|COUNTRY OF ORIG|TARIFF NO.|SCHEDULE B CODE
CUM37330||3803389RX|TURBO H2E 91L10|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM37420||3802969RX|TURBO HX82|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM37444||3802906RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM37463||3802867RX|TURBOCHARGER HX60|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM37499||3802778RX|TURBO HX35W|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM37541||3802696RX|TURBO HX35W|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM37543||3802695RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM37545||3802694RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM37597||3802613|TURBO HX40 WASTEGATE|Turbochargers|Holset||0|CUMMINS - PARTS|36|3375|15|15|15|||8414800500|8414800500
CUM37764||3802301RX|TURBOCHARGER H1 WATERCOOL|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38092||3800858RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38093||3800856RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38183||3800471RX|TURBO HX55|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38202||3800407RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38214||3800383RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38254||3800286RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38262||3799108RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38264||3799107RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38275|3798351;3798351RX;4309232;4309232NX;4309536;4309536NX;4352505;4352505RX;5326681RX;CUM3798351RX|3798351RX|KIT ICP TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|50|6012.34|19.3|17.7|17.6|||8414800500|8414800500
CUM38279||3798340RX|KIT ICP TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38281||3798339RX|KIT ICP TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38283||3798338RX|KIT ICP TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|49|3959.28|16.75|15.5|15.25|||8414800500|8414800500
CUM38285||3798337RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38286||3798334RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38288||3798332RX|Reman Cummins HE351VE Turbo No Actuator 6.7|Turbo Repair/Install Comp|General||0|CUMMINS - PARTS|43|3959.28|16.75|15.5|15.25|||8708998180|4009110000
CUM38291||3798330RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38293||3798328RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38295||3798327RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38296||3798327|KIT TURBOCHARGER|Turbochargers|General||0|CUMMINS - PARTS|51.75|3959.28|16.75|15.5|15.25|||8414800500|8414800500
CUM38298||3798319RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|42|3928.13|16.75|15.13|15.5|||8484900000|8484900000
CUM38300||3798318RX|Reman Turbocharger, Short Turbo|Turbochargers|Holset||0|CUMMINS - PARTS|51|0|0|0|0|||8414800500|8414800500
CUM38302|3781741;3781741RX;3789485;3789485RX;3796049;3796049RX;3798315;3798315RX;3798366;3798366RX;5327553;5327553RX|3798315RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38303||3798310RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM38444||3690864RX|COMPRESSOR 1 CYL AIR|Air Components|Compressor||0|CUMMINS - PARTS|43.3|1863.04|16|8.2|14.2|||8708915000|8708915000
CUM398|3977338;5260648;5266419;CUM5266419|5266419|GASKET TURBOCHARGER|Turbo Repair/Install Comp|General||18|CUMMINS - PARTS|0.05|3.375|0.25|3|4.5||US|8708998180|4009110000
CUM41449||3545576|KIT TURBO REPAIR|Turbo Repair/Install Comp|General||0|CUMMINS - PARTS|0.07|13.78|0.4|5.3|6.5|||8708998180|4009110000
CUM41468||3537960|GASKET TURBOCHARGER|Turbo Repair/Install Comp|General||0|CUMMINS - PARTS|0.159|5.4925|0.13|6.5|6.5|||8708998180|4009110000
CUM420|3977338;5260648;5266419;CUM3977338;CUM5260648|5260648|GASKET TURBOCHARGER|Turbo Repair/Install Comp|General||31|CUMMINS - PARTS|0.1|3.28912|0.13|5.03|5.03||US|8708998180|4009110000
CUM468|4982960;6205115580;C6205115580;C-620511-5580;CUM4982960;CUMC6205115580|4982960|GASKET TURBOCHARGER|Turbo Repair/Install Comp|General||7|CUMMINS - PARTS|0.01|1.17813|0.13|2.5|3.625||US|8708998180|4009110000
CUM46960||3255657|GASKET TURBOCHARGER|Turbo Repair/Install Comp|General||0|CUMMINS - PARTS|0.25|2.4|0.1|4|6|||8708998180|4009110000
CUM523||4955462RX|TURBO HE431V ISM02|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0||US|8414800500|8414800500
CUM53099||3072919|GASKET TURBOCHARGER|Turbo Repair/Install Comp|General||0|CUMMINS - PARTS|0.04|4.86468|0.19|5.06|5.06|||8708998180|4009110000
CUM61782||2882104RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61784||2882102RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61788||2882095RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61789||2882094RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61791||2882093RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
